ts_unix_ms,ts_dt_utc,symbol,n_trades_1s,sum_qty_1s,vwap_1s,buy_qty_1s,sell_qty_1s,buy_notional_1s,sell_notional_1s
1771365750355,2026-02-17 22:02:30.355000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365750355,2026-02-17 22:02:30.355000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365750355,2026-02-17 22:02:30.355000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365750355,2026-02-17 22:02:30.355000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365750355,2026-02-17 22:02:30.355000,XRPUSDT,1,40.3,1.4819,40.3,0.0,59.720569999999995,0.0
1771365751361,2026-02-17 22:02:31.361000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365751361,2026-02-17 22:02:31.361000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365751361,2026-02-17 22:02:31.361000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365751361,2026-02-17 22:02:31.361000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365751361,2026-02-17 22:02:31.361000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365752367,2026-02-17 22:02:32.367000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365752367,2026-02-17 22:02:32.367000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365752367,2026-02-17 22:02:32.367000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365752367,2026-02-17 22:02:32.367000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365752367,2026-02-17 22:02:32.367000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365753376,2026-02-17 22:02:33.376000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365753376,2026-02-17 22:02:33.376000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365753376,2026-02-17 22:02:33.376000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365753376,2026-02-17 22:02:33.376000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365753376,2026-02-17 22:02:33.376000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365754381,2026-02-17 22:02:34.381000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365754381,2026-02-17 22:02:34.381000,ETHUSDT,1,1.522,1997.4,0.0,1.522,0.0,3040.0428
1771365754381,2026-02-17 22:02:34.381000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365754381,2026-02-17 22:02:34.381000,BNBUSDT,1,0.3,618.2,0.3,0.0,185.46,0.0
1771365754381,2026-02-17 22:02:34.381000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365755391,2026-02-17 22:02:35.391000,BTCUSDT,1,0.031,67605.2,0.0,0.031,0.0,2095.7612
1771365755391,2026-02-17 22:02:35.391000,ETHUSDT,1,1.522,1997.4,0.0,1.522,0.0,3040.0428
1771365755391,2026-02-17 22:02:35.391000,SOLUSDT,1,3.79,85.16,0.0,3.79,0.0,322.7564
1771365755391,2026-02-17 22:02:35.391000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365755391,2026-02-17 22:02:35.391000,XRPUSDT,1,34.1,1.4818,0.0,34.1,0.0,50.52938
1771365756403,2026-02-17 22:02:36.403000,BTCUSDT,1,0.003,67605.1,0.0,0.003,0.0,202.8153
1771365756403,2026-02-17 22:02:36.403000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365756403,2026-02-17 22:02:36.403000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365756403,2026-02-17 22:02:36.403000,BNBUSDT,1,0.38,618.2,0.0,0.38,0.0,234.91600000000003
1771365756403,2026-02-17 22:02:36.403000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365757410,2026-02-17 22:02:37.410000,BTCUSDT,1,0.02,67601.3,0.0,0.02,0.0,1352.026
1771365757410,2026-02-17 22:02:37.410000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365757410,2026-02-17 22:02:37.410000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365757410,2026-02-17 22:02:37.410000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365757410,2026-02-17 22:02:37.410000,XRPUSDT,1,44.4,1.4818000000000002,44.4,0.0,65.79192,0.0
1771365758420,2026-02-17 22:02:38.420000,BTCUSDT,1,0.035,67601.3,0.035,0.0,2366.0455,0.0
1771365758420,2026-02-17 22:02:38.420000,ETHUSDT,1,0.823,1997.4000000000003,0.0,0.823,0.0,1643.8602
1771365758420,2026-02-17 22:02:38.420000,SOLUSDT,2,48.72,85.16923645320198,48.72,0.0,4149.4452,0.0
1771365758420,2026-02-17 22:02:38.420000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365758420,2026-02-17 22:02:38.420000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365759426,2026-02-17 22:02:39.426000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365759426,2026-02-17 22:02:39.426000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365759426,2026-02-17 22:02:39.426000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365759426,2026-02-17 22:02:39.426000,BNBUSDT,1,0.41,618.2,0.41,0.0,253.46200000000002,0.0
1771365759426,2026-02-17 22:02:39.426000,XRPUSDT,1,50.4,1.4822,0.0,50.4,0.0,74.70288
1771365760437,2026-02-17 22:02:40.437000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365760437,2026-02-17 22:02:40.437000,ETHUSDT,1,1.047,1997.4,1.047,0.0,2091.2778,0.0
1771365760437,2026-02-17 22:02:40.437000,SOLUSDT,1,4.63,85.16,0.0,4.63,0.0,394.2908
1771365760437,2026-02-17 22:02:40.437000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365760437,2026-02-17 22:02:40.437000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365761446,2026-02-17 22:02:41.446000,BTCUSDT,1,0.02,67601.3,0.0,0.02,0.0,1352.026
1771365761446,2026-02-17 22:02:41.446000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365761446,2026-02-17 22:02:41.446000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365761446,2026-02-17 22:02:41.446000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365761446,2026-02-17 22:02:41.446000,XRPUSDT,1,101.2,1.4822,101.2,0.0,149.99864,0.0
1771365762456,2026-02-17 22:02:42.456000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365762456,2026-02-17 22:02:42.456000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
