ts_unix_ms,ts_dt_utc,symbol,bid1_px,bid2_px,bid3_px,bid4_px,bid5_px,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,ask1_px,ask2_px,ask3_px,ask4_px,ask5_px,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,obi5
1771365750355,2026-02-17 22:02:30.355000,BTCUSDT,67605.2,67605.1,67604.4,67604.0,67602.6,2.838,0.01,0.147,0.389,0.258,67605.3,67606.6,67606.9,67607.7,67607.8,2.102,0.147,1.947,0.009,0.013,-0.07328244274809168
1771365750355,2026-02-17 22:02:30.355000,ETHUSDT,1997.2,1997.1,1997.0,1996.9,1996.8,110.377,2.545,6.997,169.777,122.264,1997.3,1997.5,1997.6,1997.7,1997.8,30.485,56.113,78.572,173.892,0.35,0.09655403714804377
1771365750355,2026-02-17 22:02:30.355000,SOLUSDT,85.16,85.15,85.14,85.13,85.12,3940.83,4284.3,3421.41,3983.74,3879.6,85.17,85.18,85.19,85.2,85.21,301.86,3466.31,4633.74,2845.57,4155.94,0.11761878710978345
1771365750355,2026-02-17 22:02:30.355000,BNBUSDT,618.2,618.1,618.0,617.9,617.8,279.04,342.18,272.83,18.67,202.13,618.3,618.4,618.5,618.6,618.7,49.81,309.16,292.44,377.26,246.55,-0.06709845318337962
1771365750355,2026-02-17 22:02:30.355000,XRPUSDT,1.4819,1.4818,1.4817,1.4816,1.4815,50647.6,23139.2,99192.1,17947.6,68299.0,1.482,1.4821,1.4822,1.4823,1.4825,969.3,57544.8,31991.1,48509.5,93037.4,0.05531170157157587
1771365751361,2026-02-17 22:02:31.361000,BTCUSDT,67605.2,67605.1,67604.4,67604.0,67602.6,2.838,0.01,0.147,0.389,0.258,67605.3,67606.6,67606.9,67607.7,67607.8,2.102,0.147,1.947,0.009,0.013,-0.07328244274809168
1771365751361,2026-02-17 22:02:31.361000,ETHUSDT,1997.2,1997.1,1997.0,1996.9,1996.8,110.377,2.545,6.997,169.777,122.264,1997.3,1997.5,1997.6,1997.7,1997.8,30.485,56.113,78.572,173.892,0.35,0.09655403714804377
1771365751361,2026-02-17 22:02:31.361000,SOLUSDT,85.16,85.15,85.14,85.13,85.12,3940.83,4284.3,3421.41,3983.74,3879.6,85.17,85.18,85.19,85.2,85.21,301.86,3466.31,4633.74,2845.57,4155.94,0.11761878710978345
1771365751361,2026-02-17 22:02:31.361000,BNBUSDT,618.2,618.1,618.0,617.9,617.8,279.04,342.18,272.83,18.67,202.13,618.3,618.4,618.5,618.6,618.7,49.81,309.16,292.44,377.26,246.55,-0.06709845318337962
1771365751361,2026-02-17 22:02:31.361000,XRPUSDT,1.4819,1.4818,1.4817,1.4816,1.4815,50647.6,23139.2,99192.1,17947.6,68299.0,1.482,1.4821,1.4822,1.4823,1.4825,969.3,57544.8,31991.1,48509.5,93037.4,0.05531170157157587
1771365752367,2026-02-17 22:02:32.367000,BTCUSDT,67605.2,67605.1,67604.4,67604.0,67602.6,2.838,0.01,0.147,0.389,0.258,67605.3,67606.6,67606.9,67607.7,67607.8,2.102,0.147,1.947,0.009,0.013,-0.07328244274809168
1771365752367,2026-02-17 22:02:32.367000,ETHUSDT,1997.2,1997.1,1997.0,1996.9,1996.8,110.377,2.545,6.997,169.777,122.264,1997.3,1997.5,1997.6,1997.7,1997.8,30.485,56.113,78.572,173.892,0.35,0.09655403714804377
1771365752367,2026-02-17 22:02:32.367000,SOLUSDT,85.16,85.15,85.14,85.13,85.12,3940.83,4284.3,3421.41,3983.74,3879.6,85.17,85.18,85.19,85.2,85.21,301.86,3466.31,4633.74,2845.57,4155.94,0.11761878710978345
1771365752367,2026-02-17 22:02:32.367000,BNBUSDT,618.2,618.1,618.0,617.9,617.8,279.04,342.18,272.83,18.67,202.13,618.3,618.4,618.5,618.6,618.7,49.81,309.16,292.44,377.26,246.55,-0.06709845318337962
