ts_unix_ms,ts_dt_utc,symbol,k1_start_ms,k1_close_ms,k1_open,k1_high,k1_low,k1_close,k1_base_vol,k1_quote_vol,k1_trades,k1_closed
1771365750355,2026-02-17 22:02:30.355000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.2,67605.2,67605.2,0.218,14737.9336,5,False
1771365750355,2026-02-17 22:02:30.355000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.2,1997.2,1997.2,16.527,33007.7244,4,False
1771365750355,2026-02-17 22:02:30.355000,SOLUSDT,1771365720000,1771365779999,85.16,85.17,85.16,85.16,31.32,2667.2135,5,False
1771365750355,2026-02-17 22:02:30.355000,BNBUSDT,1771365720000,1771365779999,618.2,618.2,618.2,618.2,1.17,723.294,2,False
1771365750355,2026-02-17 22:02:30.355000,XRPUSDT,1771365720000,1771365779999,1.4825,1.4825,1.4825,1.4825,292.1,433.03825,3,False
1771365751361,2026-02-17 22:02:31.361000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.2,67605.2,67605.2,0.218,14737.9336,5,False
1771365751361,2026-02-17 22:02:31.361000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.2,1997.2,1997.2,16.527,33007.7244,4,False
1771365751361,2026-02-17 22:02:31.361000,SOLUSDT,1771365720000,1771365779999,85.16,85.17,85.16,85.16,31.32,2667.2135,5,False
1771365751361,2026-02-17 22:02:31.361000,BNBUSDT,1771365720000,1771365779999,618.2,618.2,618.2,618.2,1.17,723.294,2,False
1771365751361,2026-02-17 22:02:31.361000,XRPUSDT,1771365720000,1771365779999,1.4825,1.4825,1.4825,1.4825,292.1,433.03825,3,False
1771365752367,2026-02-17 22:02:32.367000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.2,67605.2,67605.2,0.218,14737.9336,5,False
1771365752367,2026-02-17 22:02:32.367000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.2,1997.2,1997.2,16.527,33007.7244,4,False
1771365752367,2026-02-17 22:02:32.367000,SOLUSDT,1771365720000,1771365779999,85.16,85.17,85.16,85.16,31.32,2667.2135,5,False
1771365752367,2026-02-17 22:02:32.367000,BNBUSDT,1771365720000,1771365779999,618.2,618.2,618.2,618.2,1.17,723.294,2,False
1771365752367,2026-02-17 22:02:32.367000,XRPUSDT,1771365720000,1771365779999,1.4825,1.4825,1.4825,1.4825,292.1,433.03825,3,False
1771365753376,2026-02-17 22:02:33.376000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.2,67605.2,67605.2,0.218,14737.9336,5,False
1771365753376,2026-02-17 22:02:33.376000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.2,1997.2,1997.2,16.527,33007.7244,4,False
1771365753376,2026-02-17 22:02:33.376000,SOLUSDT,1771365720000,1771365779999,85.16,85.17,85.16,85.16,31.32,2667.2135,5,False
1771365753376,2026-02-17 22:02:33.376000,BNBUSDT,1771365720000,1771365779999,618.2,618.2,618.2,618.2,3.72,2299.704,9,False
1771365753376,2026-02-17 22:02:33.376000,XRPUSDT,1771365720000,1771365779999,1.4825,1.4825,1.4825,1.4825,292.1,433.03825,3,False
1771365754381,2026-02-17 22:02:34.381000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.2,67605.2,67605.2,0.218,14737.9336,5,False
1771365754381,2026-02-17 22:02:34.381000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.4,1997.2,1997.4,38.649,77190.0882,14,False
1771365754381,2026-02-17 22:02:34.381000,SOLUSDT,1771365720000,1771365779999,85.16,85.17,85.16,85.16,31.32,2667.2135,5,False
1771365754381,2026-02-17 22:02:34.381000,BNBUSDT,1771365720000,1771365779999,618.2,618.2,618.2,618.2,3.72,2299.704,9,False
1771365754381,2026-02-17 22:02:34.381000,XRPUSDT,1771365720000,1771365779999,1.4825,1.4825,1.4825,1.4825,292.1,433.03825,3,False
1771365755391,2026-02-17 22:02:35.391000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.3,67605.1,67605.2,0.616,41644.8181,21,False
1771365755391,2026-02-17 22:02:35.391000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.4,1997.2,1997.4,38.649,77190.0882,14,False
1771365755391,2026-02-17 22:02:35.391000,SOLUSDT,1771365720000,1771365779999,85.16,85.17,85.16,85.16,65.49,5577.1322,13,False
1771365755391,2026-02-17 22:02:35.391000,BNBUSDT,1771365720000,1771365779999,618.2,618.2,618.2,618.2,3.72,2299.704,9,False
1771365755391,2026-02-17 22:02:35.391000,XRPUSDT,1771365720000,1771365779999,1.4825,1.4825,1.4818,1.4818,592.1,877.7402,11,False
1771365756403,2026-02-17 22:02:36.403000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.3,67605.1,67605.1,0.617,41712.4232,22,False
1771365756403,2026-02-17 22:02:36.403000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.4,1997.2,1997.4,38.649,77190.0882,14,False
1771365756403,2026-02-17 22:02:36.403000,SOLUSDT,1771365720000,1771365779999,85.16,85.17,85.16,85.16,65.49,5577.1322,13,False
1771365756403,2026-02-17 22:02:36.403000,BNBUSDT,1771365720000,1771365779999,618.2,618.2,618.2,618.2,4.1,2534.62,10,False
1771365756403,2026-02-17 22:02:36.403000,XRPUSDT,1771365720000,1771365779999,1.4825,1.4825,1.4818,1.4818,636.5,943.53212,12,False
1771365757410,2026-02-17 22:02:37.410000,BTCUSDT,1771365720000,1771365779999,67605.2,67605.3,67601.3,67601.3,0.639,43199.6594,24,False
1771365757410,2026-02-17 22:02:37.410000,ETHUSDT,1771365720000,1771365779999,1997.2,1997.4,1997.2,1997.4,38.649,77190.0882,14,False
