ts_unix_ms,ts_dt_utc,symbol,mark_px,index_px,funding_rate,next_funding_time_ms,mark_index_bps
1771354830654,2026-02-17 19:00:30.654000,ETHUSDT,1998.17279457,1999.07581395,2.821e-05,1771372800000,-4.517184259339446
1771354831658,2026-02-17 19:00:31.658000,ETHUSDT,1998.17279457,1999.07581395,2.821e-05,1771372800000,-4.517184259339446
1771354832661,2026-02-17 19:00:32.661000,ETHUSDT,1998.17279457,1999.07581395,2.821e-05,1771372800000,-4.517184259339446
1771354833666,2026-02-17 19:00:33.666000,ETHUSDT,1998.1,1998.96255814,2.821e-05,1771372800000,-4.315028995854897
1771354834668,2026-02-17 19:00:34.668000,ETHUSDT,1998.1,1998.97325581,2.821e-05,1771372800000,-4.368521727151631
1771354835673,2026-02-17 19:00:35.673000,ETHUSDT,1998.1,1998.97325581,2.821e-05,1771372800000,-4.368521727151631
1771354836678,2026-02-17 19:00:36.678000,ETHUSDT,1998.1,1998.96209302,2.821e-05,1771372800000,-4.312703192373979
1771354837682,2026-02-17 19:00:37.682000,ETHUSDT,1998.2,1999.0055814,2.821e-05,1771372800000,-4.029910709082429
1771354838685,2026-02-17 19:00:38.685000,ETHUSDT,1998.2,1999.0055814,2.821e-05,1771372800000,-4.029910709082429
1771354839689,2026-02-17 19:00:39.689000,ETHUSDT,1998.9,1999.2127907,2.821e-05,1771372800000,-1.5645693217591905
1771354840694,2026-02-17 19:00:40.694000,ETHUSDT,1998.9,1999.36465116,2.821e-05,1771372800000,-2.323994073468727
1771354841700,2026-02-17 19:00:41.700000,ETHUSDT,1998.9,1999.58860465,2.821e-05,1771372800000,-3.4437316175861543
1771354842704,2026-02-17 19:00:42.704000,ETHUSDT,1998.9,1999.58860465,2.821e-05,1771372800000,-3.4437316175861543
1771354843710,2026-02-17 19:00:43.710000,ETHUSDT,1998.68025581,1999.58860465,2.821e-05,1771372800000,-4.542678618429941
1771354844714,2026-02-17 19:00:44.714000,ETHUSDT,1998.51587985,1999.43139535,2.821e-05,1771372800000,-4.578879286026849
1771354845719,2026-02-17 19:00:45.719000,ETHUSDT,1998.51053101,1999.42604651,2.821e-05,1771372800000,-4.578891535389484
1771354846725,2026-02-17 19:00:46.725000,ETHUSDT,1998.50983334,1999.42534884,2.821e-05,1771372800000,-4.578893133125872
1771354847727,2026-02-17 19:00:47.727000,ETHUSDT,1998.51076357,1999.42627907,2.821e-05,1771372800000,-4.5788910028010665
1771354848733,2026-02-17 19:00:48.733000,ETHUSDT,1998.51076357,1999.42627907,2.821e-05,1771372800000,-4.5788910028010665
1771354849735,2026-02-17 19:00:49.735000,ETHUSDT,1998.6,1999.44697674,2.821e-05,1771372800000,-4.236055018478346
1771354850741,2026-02-17 19:00:50.741000,ETHUSDT,1998.6,1999.44697674,2.821e-05,1771372800000,-4.236055018478346
1771354851744,2026-02-17 19:00:51.744000,ETHUSDT,1999.0,1999.46930233,2.821e-05,1771372800000,-2.3471344593939403
1771354852749,2026-02-17 19:00:52.749000,ETHUSDT,1999.0,1999.49023256,2.821e-05,1771372800000,-2.451787720775256
1771354853754,2026-02-17 19:00:53.754000,ETHUSDT,1999.0,1999.57511628,2.821e-05,1771372800000,-2.876192423667545
1771354854756,2026-02-17 19:00:54.756000,ETHUSDT,1999.0,1999.56395349,2.821e-05,1771372800000,-2.8203823589412202
1771354855760,2026-02-17 19:00:55.760000,ETHUSDT,1998.7,1999.56395349,2.821e-05,1771372800000,-4.320709465140959
1771354856764,2026-02-17 19:00:56.764000,ETHUSDT,1998.7,1999.54860465,2.821e-05,1771372800000,-4.243981106668571
1771354857769,2026-02-17 19:00:57.769000,ETHUSDT,1998.64866279,1999.55767442,2.821e-05,1771372800000,-4.5460635701033425
1771354858772,2026-02-17 19:00:58.772000,ETHUSDT,1998.64866279,1999.55767442,2.821e-05,1771372800000,-4.5460635701033425
1771354859777,2026-02-17 19:00:59.777000,ETHUSDT,1998.7,1999.58465116,2.821e-05,1771372800000,-4.424174587891461
1771354860783,2026-02-17 19:01:00.783000,ETHUSDT,1999.1,1999.5855814,2.857e-05,1771372800000,-2.4284101891758336
1771354861787,2026-02-17 19:01:01.787000,ETHUSDT,1999.1,1999.7444186,2.857e-05,1771372800000,-3.2225048061451655
1771354862789,2026-02-17 19:01:02.789000,ETHUSDT,1999.1,1999.7444186,2.857e-05,1771372800000,-3.2225048061451655
1771354863794,2026-02-17 19:01:03.794000,ETHUSDT,1998.83831782,1999.7444186,2.857e-05,1771372800000,-4.531082930260277
